ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Discovery Bibcode,Classification Bibcodes,Ext. catalog/s
16450,SN 2016ilf,02:35:20.666,+35:11:30.19,SN Iax[02cx-like],0.045,2MASX J02351956+3511426,,"TNTS, Pan-STARRS","TNTS, Pan-STARRS",TNTS,Pan-STARRS; TNTS,,"BAO-0.6m - BATC, PS1 - GPC1",Lijiang-2.4m - YFOSC,1,1,,18.9,Clear-,2016-11-23 16:47:59.000,Li,,2016TNSTR.954....1Z,2016TNSCR.962....1Z,
16449,SN 2016ile,04:02:15.560,-32:58:54.16,SN Ia,0.065,,,"ATLAS, GaiaAlerts","ATLAS, GaiaAlerts",PESSTO,ATLAS; GaiaAlerts,ATLAS16dxm,"ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric",ESO-NTT - EFOSC2-NTT,1,1,,18.41,orange-ATLAS,2016-11-11 11:41:16.000,ATLAS_Bot1,,2016TNSTR.952....1T,2016TNSCR1052....1S,
16437,SN 2016iks,23:07:21.530,+02:54:28.22,SN Ia-CSM,0.063,,,GaiaAlerts,GaiaAlerts,PESSTO,GaiaAlerts,Gaia16bxa,Gaia - Gaia-photometric,ESO-NTT - EFOSC2-NTT,1,1,,17.64,G-Gaia,2016-11-20 10:12:00.000,Gaia_Bot1,,2016TNSTR.948....1D,2016TNSCR1051....1B,
16403,SN 2016ijk,01:29:04.620,+40:21:49.36,SN Ia,0.053,,,"GaiaAlerts, iPTF","GaiaAlerts, iPTF",None,GaiaAlerts; iPTF,Gaia16car,"Gaia - Gaia-photometric, P48 - CFH12k",NOT - ALFOSC,1,1,,18.68,G-Gaia,2016-12-05 22:37:55.000,Gaia_Bot1,,2016TNSTR1024....1D,2016TNSCR1029....1K,
16402,SN 2016ijj,01:55:23.550,+21:17:10.05,SN Ia,0.041,,,"ATLAS, iPTF","ATLAS, iPTF",Padova-Asiago,ATLAS; iPTF,ATLAS16dys,"ATLAS-HKO - ATLAS-02, P48 - CFH12k",Ekar - AFOSC,1,1,,18.19,cyan-ATLAS,2016-11-29 08:39:50.000,ATLAS_Bot1,,2016TNSTR.969....1T,2016TNSCR1013....1T,
16398,SN 2016ijf,21:51:47.010,-55:44:18.10,SN Ia,0.032,APMUKS(BJ) B214820.71-555825.5,,"ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts",ASAS-SN,ASAS-SN; GaiaAlerts,ASASSN-16nn,"ASASSN-2 - Cassius, Gaia - Gaia-photometric",LCO-duPont - WFCCD,1,1,,16.8,V-Johnson,2016-11-23 03:07:12.000,Stanek,,2016TNSTR.946....1S,2016TNSCR.986....1P,
16397,SN 2016ije,01:58:30.330,+12:55:27.90,SN Ia-91bg-like,0.04,SDSS J015830.25+125528.1,,TNTS,TNTS,TNTS,TNTS,,BAO-0.6m - BATC,Lijiang-2.4m - YFOSC,1,1,,17.8,Clear-,2016-11-22 17:02:24.000,Li,,2016TNSTR.950....1Z,2016TNSCR.955....1Z,
16395,SN 2016ijc,21:25:52.160,-37:24:13.86,SN Ia,,2MASX J21255058-3724071,0.030685,"ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts",ASAS-SN,ASAS-SN; GaiaAlerts,ASASSN-16nm,"ASASSN-2 - Cassius, Gaia - Gaia-photometric",LCO-duPont - WFCCD,1,1,,16.7,V-Johnson,2016-11-23 01:55:12.000,Stanek, [Object redshift updated according to host-redshift by admin],2016TNSTR.946....1S,2016TNSCR.983....1P,
16393,SN 2016ija,04:12:07.600,-32:51:10.48,SN II,0.003468,NGC1532,,"DLT40, GaiaAlerts","DLT40, GaiaAlerts","iPTF, LCOGT SN-KP",DLT40; GaiaAlerts,DLT16am,"Gaia - Gaia-photometric, Other - Other","FTN - FLOYDS-N, P60 - SEDM",1,1,,18.5741,Clear-,2016-11-22 17:05:16.000,DLT40_bot1,,2016TNSTR.947....1V,"2016TNSCR.951....1N, 2017TNSCR1514....1H",
16299,SN 2016ifk,02:47:33.240,-26:29:21.98,SN Ia,0.058,,,"GaiaAlerts, ATLAS","GaiaAlerts, ATLAS","PESSTO, None",ATLAS; GaiaAlerts,Gaia16bvs,"ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT, Lijiang-2.4m - YFOSC",1,1,,17.65,G-Gaia,2016-11-16 03:11:31.000,Gaia_Bot1,,2016TNSTR.928....1D,"2016TNSCR.935....1R, 2016TNSCR1136....1Z",
16285,SN 2016iew,06:13:11.540,-24:16:18.98,SN Ia,0.058,,,"ATLAS, GaiaAlerts","ATLAS, GaiaAlerts",PESSTO,ATLAS; GaiaAlerts,ATLAS16dwx,"ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric",ESO-NTT - EFOSC2-NTT,1,1,,18.18,orange-ATLAS,2016-11-11 13:22:04.000,ATLAS_Bot1,,2016TNSTR.927....1T,2016TNSCR.932....1T,
16282,SN 2016iet,12:32:33.230,+27:07:15.49,SN I,0.0676,,,"GaiaAlerts, Pan-STARRS","GaiaAlerts, Pan-STARRS",None,GaiaAlerts; Pan-STARRS,Gaia16bvd,"Gaia - Gaia-photometric, PS1 - GPC1",Magellan-Baade - IMACS,1,1,,18.7,G-Gaia,2016-11-14 14:16:48.000,Gaia_Bot1,,2016TNSTR.924....1D,2019TNSCR.579....1G,
16279,SN 2016ieq,21:22:25.190,-11:56:54.82,SN IIn,0.066,,,"GaiaAlerts, Pan-STARRS","GaiaAlerts, Pan-STARRS",None,GaiaAlerts; Pan-STARRS,Gaia16buy,"Gaia - Gaia-photometric, PS1 - GPC1",NOT - ALFOSC,1,1,,17.95,G-Gaia,2016-11-14 10:20:38.000,Gaia_Bot1,,2016TNSTR.924....1D,2016TNSCR1023....1K,
16266,SN 2016ied,08:58:59.778,+44:49:52.38,SN IIP,0.0479,,,"Pan-STARRS, iPTF","Pan-STARRS, iPTF",iPTF,iPTF; Pan-STARRS,PS16fbs,"P48 - CFH12k, PS1 - GPC1",P60 - SEDM,1,1,,18.77,i-Sloan,2016-11-13 13:58:04.000,PS1_Bot1,,2016TNSTR.925....1C,2017TNSCR..68....1N,
16248,SN 2016idl,10:06:29.110,+22:26:44.27,SN IIn,0.058,,,GaiaAlerts,GaiaAlerts,ASAS-SN,GaiaAlerts,Gaia16bug,Gaia - Gaia-photometric,MDM-2.4 - OSMOS,1,1,,16.84,G-Gaia,2016-11-13 07:04:48.000,Gaia_Bot1,,2016TNSTR.920....1D,2017TNSCR..41....1P,
16221,SN 2016ick,00:07:03.160,-20:41:48.62,SN Ia,0.0525,,,"Pan-STARRS, GaiaAlerts","Pan-STARRS, GaiaAlerts",None,GaiaAlerts; Pan-STARRS,PS16fbb,"Gaia - Gaia-photometric, PS1 - GPC1",SALT - RSS,1,1,,19.56,i-Sloan,2016-11-13 06:28:48.000,PS1_Bot1,,2016TNSTR.922....1C,2016TNSCR.961....1J,
16159,SN 2016iaf,05:47:04.831,-25:46:13.83,SN IIn,0.063,,,"ATLAS, Pan-STARRS","ATLAS, Pan-STARRS",PESSTO,ATLAS; Pan-STARRS,ATLAS16dvt,"ATLAS-HKO - ATLAS-02, PS1 - GPC1",ESO-NTT - EFOSC2-NTT,1,1,,18.88,cyan-ATLAS,2016-10-30 13:40:47.000,ATLAS_Bot1,,2016TNSTR.909....1T,2016TNSCR.932....1T,
16158,SN 2016iae,04:12:05.530,-32:51:44.53,SN Ic,0.004,,,"ATLAS, GaiaAlerts","ATLAS, GaiaAlerts",None,ATLAS; GaiaAlerts,ATLAS16dvr,"ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric","Lijiang-2.4m - YFOSC, SALT - RSS",1,1,,17.32,cyan-ATLAS,2016-11-07 11:22:33.000,ATLAS_Bot1,,2016TNSTR.909....1T,"2016TNSCR.916....1Z, 2016TNSCR1135....1J",
16134,SN 2016hzg,01:04:37.120,-02:32:32.35,SN II,0.019,,,"Pan-STARRS, iPTF, GaiaAlerts","Pan-STARRS, iPTF, GaiaAlerts",iPTF,GaiaAlerts; iPTF; Pan-STARRS,PS16fdq,"Gaia - Gaia-photometric, P48 - CFH12k, PS1 - GPC1",Gemini-N - GMOS,1,1,,17.91,i-Sloan,2016-11-18 08:35:31.000,PS1_Bot1,,2016TNSTR.934....1C,2021TNSCR2567....1Y,
16063,SN 2016hwn,12:04:16.880,+21:48:01.84,SN II,0.028,KUG 1201+220,0.02145,"ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts",ASAS-SN,ASAS-SN; GaiaAlerts,ASASSN-16mz,"ASASSN-1 - Brutus, Gaia - Gaia-photometric",LT - SPRAT,1,1,,17.1,V-Johnson,2016-11-06 15:07:12.000,Stanek,,2016TNSTR.893....1S,2016TNSCR.908....1B,
16044,SN 2016hvu,22:35:55.560,+20:19:12.58,SN IIP,0.0185,NGC 7316,0.01852,SNHunt,SNHunt,None,CRTS; SNHunt,,Other - Other,Lijiang-2.4m - YFOSC,1,1,,17.6,V-crts-CRTS,2016-11-06 02:40:36.000,Drake,,2016TNSTR.896....1V,2016TNSCR.910....1Z,
16035,SN 2016hvl,06:44:02.160,+12:23:47.83,SN Ia,0.013,,,"ATLAS, LOSS, GaiaAlerts","ATLAS, LOSS, GaiaAlerts",PESSTO,ATLAS; GaiaAlerts; LOSS,ATLAS16dtf,"ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, Other - Other",ESO-NTT - EFOSC2-NTT,1,1,,17.37,cyan-ATLAS,2016-11-04 14:47:02.000,ATLAS_Bot1,,2016TNSTR.884....1T,2016TNSCR.892....1D,
16005,SN 2016huh,08:57:05.222,-20:02:05.60,SN Ia,0.019,ESO 563- G 035 ,0.018556,"ASAS-SN, Pan-STARRS","ASAS-SN, Pan-STARRS",PESSTO,ASAS-SN; Pan-STARRS,ASASSN-16mv,"ASASSN-2 - Cassius, PS1 - GPC1",ESO-NTT - EFOSC2-NTT,1,1,,16.8,V-Johnson,2016-11-04 07:26:24.000,Stanek,,2016TNSTR.879....1S,2016TNSCR.887....1D,
15985,SN 2016htn,02:11:29.080,-16:30:37.04,SN Ia,0.053,,,"ATLAS, Pan-STARRS, GaiaAlerts","ATLAS, Pan-STARRS, GaiaAlerts",PESSTO,ATLAS; GaiaAlerts; Pan-STARRS,ATLAS16dsj,"ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, PS1 - GPC1",ESO-NTT - EFOSC2-NTT,1,1,,18.08,cyan-ATLAS,2016-11-03 10:12:00.000,ATLAS_Bot1,,2016TNSTR.874....1T,2016TNSCR.886....1D,
15984,SN 2016htm,02:32:02.640,-26:39:57.42,SN Ia,0.041,,,"ATLAS, GaiaAlerts, Pan-STARRS","ATLAS, GaiaAlerts, Pan-STARRS",PESSTO,ATLAS; GaiaAlerts; Pan-STARRS,ATLAS16dsh,"ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, PS1 - GPC1",ESO-NTT - EFOSC2-NTT,1,1,,17.55,cyan-ATLAS,2016-11-03 10:23:31.000,ATLAS_Bot1,,2016TNSTR.874....1T,2016TNSCR.886....1D,
15983,SN 2016htl,19:53:55.346,-23:40:23.58,SN Ia,0.032,,,ATLAS,ATLAS,PESSTO,ATLAS,ATLAS16dse,ATLAS-HKO - ATLAS-02,ESO-NTT - EFOSC2-NTT,1,1,,18.3,cyan-ATLAS,2016-10-30 06:01:26.000,ATLAS_Bot1,,2016TNSTR.874....1T,2016TNSCR.887....1D,
15969,SN 2016hsx,01:00:41.443,-00:26:38.83,SN Ia,0.0436,2MASX J01004149-0026406,0.0436,ASAS-SN,ASAS-SN,ASAS-SN,ASAS-SN,ASASSN-16mt,ASASSN-1 - Brutus,LCO-duPont - WFCCD,1,1,,17.15,V-Johnson,2016-11-03 10:04:48.000,Stanek,,2016TNSTR.873....1S,2016TNSCR.903....1B,
15963,SN 2016hsr,03:02:00.160,+42:35:27.35,SN II,,NGC 1164,0.0142,LOSS,LOSS,LOSS,LOSS,kait-16bk,Other - Other,Lick-3m - KAST,1,1,,18.5,Clear-,2016-11-02 08:00:47.000,Zheng, [Object redshift updated according to host-redshift by admin],2016TNSTR.869....1C,2016TNSCR.942....1S,
15941,SN 2016hrv,08:33:22.040,+52:31:51.40,SN II,0.0166,UGC 4461,,"ISSP, iPTF","ISSP, iPTF",Padova-Asiago,iPTF; ISSP,,"Other - Other, P48 - CFH12k",Ekar - AFOSC,1,1,,17.4,Clear-,2016-10-31 03:36:00.000,Ciabattari,,2016TNSTR.861....1C,2016TNSCR.977....1T,
15902,SN 2016hqk,21:51:22.450,-25:18:36.71,SN Ia,0.059,,,"ATLAS, Pan-STARRS","ATLAS, Pan-STARRS",PESSTO,ATLAS; Pan-STARRS,ATLAS16dqo,"ATLAS-HKO - ATLAS-02, PS1 - GPC1",ESO-NTT - EFOSC2-NTT,1,1,,18.91,cyan-ATLAS,2016-10-26 06:24:28.000,ATLAS_Bot1,,2016TNSTR.855....1T,2016TNSCR.887....1D,
15899,SN 2016hqh,07:57:05.808,+23:08:55.36,SN Ia,0.054,,,"ATLAS, iPTF","ATLAS, iPTF",PESSTO,ATLAS; iPTF,ATLAS16dqn,"ATLAS-HKO - ATLAS-02, P48 - CFH12k",ESO-NTT - EFOSC2-NTT,1,1,,17.35,cyan-ATLAS,2016-10-24 15:01:26.000,ATLAS_Bot1,,2016TNSTR.855....1T,2016TNSCR.878....1P,
15897,SN 2016hqf,22:33:22.673,-01:21:25.39,SN Ia,0.055,,,Pan-STARRS,Pan-STARRS,PESSTO,Pan-STARRS,PS16evk,PS1 - GPC1,ESO-NTT - EFOSC2-NTT,1,1,,18.1,w-P1,2016-10-30 06:00:00.000,PS1_Bot1,,2016TNSTR.856....1C,2016TNSCR.886....1D,
15888,SN 2016hpx,06:03:16.650,-26:53:55.00,SN Ia,0.033,,,"ATLAS, GaiaAlerts, Pan-STARRS","ATLAS, GaiaAlerts, Pan-STARRS",PESSTO,ATLAS; GaiaAlerts; Pan-STARRS,ATLAS16dqh,"ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, PS1 - GPC1",ESO-NTT - EFOSC2-NTT,1,1,,18.03,cyan-ATLAS,2016-10-30 14:02:24.000,ATLAS_Bot1,,2016TNSTR.849....1T,2016TNSCR.877....1D,
15887,SN 2016hpw,21:09:07.883,-18:06:14.21,SN Ia,0.02,,,ATLAS,ATLAS,PESSTO,ATLAS,ATLAS16dqf,ATLAS-HKO - ATLAS-02,ESO-NTT - EFOSC2-NTT,1,1,,17.56,cyan-ATLAS,2016-10-30 05:47:02.000,ATLAS_Bot1,,2016TNSTR.849....1T,2016TNSCR.877....1D,
15884,SN 2016hpt,21:54:36.581,-42:51:01.98,SN II,0.0266,GALEXASC J215436.98-425103.9,,ASAS-SN,ASAS-SN,ASAS-SN,ASAS-SN,ASASSN-16ml,ASASSN-2 - Cassius,LCO-duPont - WFCCD,1,1,,17.0,V-Johnson,2016-10-30 01:55:12.000,Stanek,,2016TNSTR.848....1S,2016TNSCR.984....1P,
15869,SN 2016hpe,09:21:19.082,+17:01:57.79,SN Ia-91T-like,0.028,SDSS J092119.07+170159.5,,ASAS-SN,ASAS-SN,ASAS-SN,ASAS-SN,ASASSN-16mj,ASASSN-1 - Brutus,LT - SPRAT,1,1,,16.4,V-Johnson,2016-10-28 14:38:24.000,Stanek,,2016TNSTR.844....1S,2016TNSCR.862....1B,
15858,SN 2016hot,01:53:19.454,+17:18:53.42,SN Ia,0.074,,,Pan-STARRS,Pan-STARRS,ASAS-SN,Pan-STARRS,PS16etp,PS1 - GPC1,MDM-2.4 - OSMOS,1,1,,17.94,w-P1,2016-10-25 11:02:24.000,PS1_Bot1,,2016TNSTR.846....1C,2016TNSCR.863....1B,
15834,SN 2016hnv,02:01:30.467,+14:15:34.14,SN Ia,0.048,,,Pan-STARRS,Pan-STARRS,ASAS-SN,Pan-STARRS,PS16esv,PS1 - GPC1,MDM-2.4 - OSMOS,1,1,,17.75,i-Sloan,2016-10-24 12:23:02.000,PS1_Bot1,,2016TNSTR.842....1C,2016TNSCR.863....1B,
15824,SN 2016hnl,06:04:59.080,-33:24:40.21,SN Ia,0.027,,,"ATLAS, GaiaAlerts","ATLAS, GaiaAlerts",PESSTO,ATLAS; GaiaAlerts,ATLAS16dou,"ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric",ESO-NTT - EFOSC2-NTT,1,1,,18.13,orange-ATLAS,2016-10-14 15:01:26.000,ATLAS_Bot1,,2016TNSTR.839....1T,2016TNSCR.886....1D,
15823,SN 2016hnk,02:13:16.635,-07:39:40.80,SN Ia,0.016,,,ATLAS,ATLAS,"NUTS, None, PESSTO",ATLAS,ATLAS16dpc,ATLAS-HKO - ATLAS-02,"ESO-NTT - EFOSC2-NTT, NOT - ALFOSC, SALT - RSS, SOAR - Goodman",1,1,,17.91,cyan-ATLAS,2016-10-27 11:22:33.000,ATLAS_Bot1,,2016TNSTR.839....1T,"2016TNSCR.872....1C, 2016TNSCR1133....1P, 2016TNSCR1134....1D",
15803,SN 2016hmq,04:25:04.917,-07:33:56.22,SN II,0.0174,,,Pan-STARRS,Pan-STARRS,PESSTO,Pan-STARRS,PS16esl,PS1 - GPC1,ESO-NTT - EFOSC2-NTT,1,1,,17.69,i-Sloan,2016-10-24 13:43:40.000,PS1_Bot1,,2016TNSTR.835....1C,2016TNSCR.932....1T,
15802,SN 2016hmp,04:54:13.620,-20:29:02.29,SN Ia-91T-like,0.062,,,"ATLAS, GaiaAlerts, Pan-STARRS","ATLAS, GaiaAlerts, Pan-STARRS",PESSTO,ATLAS; GaiaAlerts; Pan-STARRS,ATLAS16dop,"ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, PS1 - GPC1",ESO-NTT - EFOSC2-NTT,1,1,,18.96,orange-ATLAS,2016-10-10 15:02:52.000,ATLAS_Bot1,,2016TNSTR.833....1T,2016TNSCR.935....1R,
15801,SN 2016hmo,19:58:41.310,-52:21:23.65,SN Ia,0.019,ESO 233-IG014,0.018913,ASAS-SN,ASAS-SN,LCOGT SN-KP,ASAS-SN,ASASSN-16mc,ASASSN-2 - Cassius,FTS - FLOYDS-S,1,1,,16.8,V-Johnson,2016-10-21 03:50:24.000,Holoien,,2016TNSTR.832....1H,2016TNSCR.865....1H,
15781,SN 2016hlu,01:55:58.906,+40:36:29.03,SN II,0.0497,,,iPTF,iPTF,iPTF,iPTF,iPTF16hlu,P48 - CFH12k,Keck1 - LRIS,1,1,2018-10-26,19.915,R-PTF,2016-10-26 10:20:38.000,iPTF_Bot1,,2018TNSTR1636....1K,2021TNSCR2567....1Y,
15769,SN 2016hli,03:43:38.452,+46:09:32.77,SN Ia,0.017,,,ATLAS,ATLAS,ASAS-SN,ATLAS,ATLAS16dod,ATLAS-HKO - ATLAS-02,MDM-2.4 - OSMOS,1,1,,18.04,cyan-ATLAS,2016-10-25 10:32:09.000,ATLAS_Bot1,,2016TNSTR.826....1T,2016TNSCR.863....1B,
15748,SN 2016hkn,02:08:34.230,+29:14:11.10,SN II,0.022,NGC819,,ISSP,ISSP,NUTS,ISSP,,Other - Other,NOT - ALFOSC,1,1,,17.2,Clear-,2016-10-22 03:50:53.000,Briganti,,2016TNSTR.822....1B,2016TNSCR.898....1C,
15719,SN 2016hjk,02:31:43.403,-25:00:05.83,SN Ia-91T-like,0.085,,,Pan-STARRS,Pan-STARRS,None,Pan-STARRS,PS16eqv,PS1 - GPC1,SALT - RSS,1,1,,19.42,i-Sloan,2016-10-12 10:42:14.000,PS1_Bot1,,2016TNSTR.819....1C,2016TNSCR1132....1J,
15715,SN 2016hjg,02:14:50.450,-24:51:05.40,SN IIP,0.0378,,,"Pan-STARRS, GaiaAlerts","Pan-STARRS, GaiaAlerts",None,GaiaAlerts; Pan-STARRS,PS16eqx,"Gaia - Gaia-photometric, PS1 - GPC1",Lijiang-2.4m - YFOSC,1,1,,19.15,i-Sloan,2016-10-20 10:35:02.000,PS1_Bot1,,2016TNSTR.819....1C,2016TNSCR.938....1Z,
15694,SN 2016hil,01:10:24.745,+14:12:15.54,SN II,0.06079,,,iPTF,iPTF,iPTF,iPTF,iPTF16hil,P48 - CFH12k,Keck1 - LRIS,1,1,2018-10-23,20.0178,g-PTF,2016-10-22 07:55:12.000,iPTF_Bot1,,2018TNSTR1623....1K,2019TNSCR.199....1I,
15686,SN 2016hid,03:58:11.692,+15:48:02.46,SN Ia,0.044,,,"ATLAS, iPTF, Pan-STARRS","ATLAS, iPTF, Pan-STARRS","iPTF, PESSTO",ATLAS; iPTF; Pan-STARRS,ATLAS16dqx,"ATLAS-HKO - ATLAS-02, P48 - CFH12k, PS1 - GPC1","ESO-NTT - EFOSC2-NTT, P60 - SEDM",1,1,,18.44,cyan-ATLAS,2016-10-24 11:49:55.000,ATLAS_Bot1,,2016TNSTR.855....1T,"2016TNSCR.871....1F, 2016TNSCR1134....1D",
15682,SN 2016hhz,01:11:42.830,+35:16:32.16,SN II,0.0167,UGC 00748,0.0161,"POSS, iPTF, GaiaAlerts","POSS, iPTF, GaiaAlerts",iPTF,GaiaAlerts; iPTF; POSS,,"Gaia - Gaia-photometric, Other - Other, P48 - CFH12k",P200 - DBSP,1,1,,20.0,Clear-,2016-10-22 07:39:45.000,Puckett,,2016TNSTR.820....1C,2016TNSCR.852....1Y,
15678,SN 2016hhv,23:35:48.477,+20:42:31.62,SN Ia,0.062,,,"ATLAS, iPTF","ATLAS, iPTF",PESSTO,ATLAS; iPTF,ATLAS16drn,"ATLAS-HKO - ATLAS-02, P48 - CFH12k",ESO-NTT - EFOSC2-NTT,1,1,,19.08,cyan-ATLAS,2016-10-24 08:41:16.000,ATLAS_Bot1,,2016TNSTR.867....1T,2016TNSCR.878....1P,
15676,SN 2016hht,10:24:05.330,+16:44:27.92,SN Ia,0.019,IC 0607,0.018596,"ASAS-SN, GaiaAlerts, Pan-STARRS","ASAS-SN, GaiaAlerts, Pan-STARRS",None,ASAS-SN; GaiaAlerts; Pan-STARRS,ASASSN-16lx,"ASASSN-1 - Brutus, Gaia - Gaia-photometric, PS1 - GPC1",Kanata - HOWPol,1,1,,15.5,V-Johnson,2016-10-19 14:52:48.000,Stanek,,2016TNSTR.814....1S,2016TNSCR.830....1K,
15666,SN 2016hhj,02:14:56.756,+36:35:05.78,SN II,0.0385,,,iPTF,iPTF,iPTF,iPTF,iPTF16hhj,P48 - CFH12k,P200 - DBSP,1,1,2018-10-21,19.328,R-PTF,2016-10-21 10:45:07.000,iPTF_Bot1,,2018TNSTR1613....1K,2021TNSCR2567....1Y,
15664,SN 2016hhh,01:35:54.650,+29:19:27.00,SN Ia,0.07,,,iPTF,iPTF,iPTF,iPTF,,"Other - Other, P48 - CFH12k",LDT - Deveny-LMI,1,1,,17.9,Clear-,2016-10-30 21:28:24.000,Mikuz,,2016TNSTR.853....1M,2016TNSCR.871....1F,
15654,SN 2016hgx,07:34:31.644,+58:07:37.57,SN Ia,0.036,,,iPTF,iPTF,iPTF,iPTF,iPTF16hgx,P48 - CFH12k,P60 - SEDM,1,1,2016-11-02,18.672,g-PTF,2016-10-20 12:28:48.000,iPTF_Bot1,,2016TNSTR.876....1K,2016TNSCR.871....1F,
15653,SN 2016hgw,02:57:34.016,+05:58:41.30,SN Ia,0.023,,,"ATLAS, iPTF","ATLAS, iPTF",iPTF,ATLAS; iPTF,ATLAS16dpb,"ATLAS-HKO - ATLAS-02, P48 - CFH12k",P60 - SEDM,1,1,,17.16,cyan-ATLAS,2016-10-27 12:44:38.000,ATLAS_Bot1,,2016TNSTR.839....1T,2016TNSCR.871....1F,
15649,SN 2016hgs,00:50:51.391,+27:22:47.99,SN Ib-Ca-rich,0.017,,,iPTF,iPTF,iPTF,iPTF,iPTF16hgs,P48 - CFH12k,Keck1 - LRIS,1,1,2018-06-28,18.6217,g-PTF,2016-10-20 08:39:50.000,iPTF_Bot1,,2018TNSTR.903....1K,2018TNSCR.899....1I,
15646,SN 2016hgp,00:12:06.413,+32:11:50.88,SN Ic,0.0811,,,iPTF,iPTF,iPTF,iPTF,iPTF16hgp,P48 - CFH12k,NOT - ALFOSC,1,1,2018-10-20,20.256,R-PTF,2016-10-20 06:44:38.000,iPTF_Bot1,,2018TNSTR1610....1K,2021TNSCR2382....1S,
15644,SN 2016hgn,23:41:22.413,-05:11:12.05,SN Ia,0.025,,,Pan-STARRS,Pan-STARRS,PESSTO,Pan-STARRS,PS16epj,PS1 - GPC1,ESO-NTT - EFOSC2-NTT,1,1,,19.79,i-Sloan,2016-10-17 08:57:07.000,PS1_Bot1,,2016TNSTR.806....1C,2016TNSCR.817....1D,
15643,SN 2016hgm,01:22:11.813,+00:57:07.40,SN II,0.008,NGC 493,0.0078,"SNHunt, ATLAS, iPTF, Pan-STARRS","SNHunt, ATLAS, iPTF, Pan-STARRS",PESSTO,ATLAS; CRTS; iPTF; Pan-STARRS; SNHunt,,"ATLAS-HKO - ATLAS-02, Other - Other, P48 - CFH12k, PS1 - GPC1",ESO-NTT - EFOSC2-NTT,1,1,,17.9,V-crts-CRTS,2016-10-19 09:10:45.000,Drake,,2016TNSTR.807....1V,2016TNSCR.817....1D,
15636,SN 2016hgf,04:51:45.970,+44:36:03.06,SN IIn,0.017179,,,GaiaAlerts,GaiaAlerts,PTSS,GaiaAlerts,Gaia16bnq,Gaia - Gaia-photometric,BAO-2.16m - Cassegrain,1,1,,17.84,G-Gaia,2016-10-16 08:55:40.000,Gaia_Bot1,,2016TNSTR.805....1D,2016TNSCR.831....1R,
15634,SN 2016hgd,09:59:07.440,+50:59:05.68,SN Ia,0.026,,,"ATLAS, GaiaAlerts","ATLAS, GaiaAlerts",ASAS-SN,ATLAS; GaiaAlerts,ATLAS16dmf,"ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric",MDM-2.4 - OSMOS,1,1,,17.74,orange-ATLAS,2016-10-13 15:04:19.000,ATLAS_Bot1,,2016TNSTR.802....1T,2016TNSCR.863....1B,
15627,SN 2016hfw,04:40:06.517,+06:20:43.24,SN II,0.035,,,Pan-STARRS,Pan-STARRS,PESSTO,Pan-STARRS,PS16epa,PS1 - GPC1,ESO-NTT - EFOSC2-NTT,1,1,,19.73,i-Sloan,2016-10-13 12:59:02.000,PS1_Bot1,,2016TNSTR.800....1C,2016TNSCR.817....1D,
15609,SN 2016hfe,20:06:45.570,-31:00:44.51,SN Ia,0.035,,,ATLAS,ATLAS,PESSTO,ATLAS,ATLAS16dkv,ATLAS-HKO - ATLAS-02,ESO-NTT - EFOSC2-NTT,1,1,,17.44,orange-ATLAS,2016-10-14 05:44:09.000,ATLAS_Bot1,,2016TNSTR.794....1T,2016TNSCR.817....1D,
15606,SN 2016hfb,02:53:58.700,+05:59:23.46,SN II,0.026,,,"Pan-STARRS, iPTF","Pan-STARRS, iPTF",None,iPTF; Pan-STARRS,PS16eot,"P48 - CFH12k, PS1 - GPC1",SALT - RSS,1,1,,18.46,i-Sloan,2016-10-11 10:03:21.000,PS1_Bot1,,2016TNSTR.796....1C,2016TNSCR.809....1J,
15574,SN 2016hdv,02:10:23.857,+44:10:36.63,SN Ia,0.039,,,"ATLAS, iPTF","ATLAS, iPTF",iPTF,ATLAS; iPTF,ATLAS16dob,"ATLAS-HKO - ATLAS-02, P48 - CFH12k",Gemini-N - GMOS,1,1,,17.91,orange-ATLAS,2016-10-16 11:41:16.000,ATLAS_Bot1,,2016TNSTR.826....1T,2016TNSCR.871....1F,
